epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,618.973,0.56091,0.63251,1.05402,0.99106,0.99689,0.99481,0.91772,0.41407,0.28705,0.94246,0.000138495,0.000138495,0.000138495
61,629.38,0.57817,0.62991,1.0643,0.99104,0.9958,0.995,0.92048,0.40578,0.27894,0.93798,0.000135198,0.000135198,0.000135198
62,639.707,0.5632,0.61837,1.06118,0.98962,0.99714,0.99481,0.92668,0.40028,0.27536,0.93286,0.000131901,0.000131901,0.000131901
63,650.018,0.57368,0.61447,1.06878,0.99376,0.99768,0.995,0.91939,0.40891,0.27296,0.9397,0.000128605,0.000128605,0.000128605
64,660.32,0.56703,0.59953,1.05683,0.99235,0.9934,0.995,0.91881,0.40984,0.27545,0.94011,0.000125308,0.000125308,0.000125308
65,670.604,0.56226,0.60492,1.05345,0.99008,0.99364,0.995,0.91735,0.41111,0.28476,0.93571,0.000122011,0.000122011,0.000122011
66,680.892,0.55591,0.60003,1.05445,0.99128,0.9987,0.995,0.91816,0.41445,0.27272,0.93942,0.000118714,0.000118714,0.000118714
67,691.189,0.56717,0.59628,1.05994,0.99324,0.99701,0.995,0.92699,0.39278,0.26212,0.92654,0.000115418,0.000115418,0.000115418
68,701.492,0.54027,0.56479,1.04626,0.9919,0.99886,0.995,0.92399,0.39886,0.26287,0.92693,0.000112121,0.000112121,0.000112121
69,711.772,0.55999,0.59047,1.05387,0.99181,0.99674,0.9946,0.92221,0.39767,0.26726,0.93172,0.000108824,0.000108824,0.000108824
70,722.047,0.54623,0.58523,1.04769,0.99438,0.99838,0.995,0.92414,0.39306,0.25965,0.92535,0.000105528,0.000105528,0.000105528
71,732.311,0.54432,0.56342,1.04798,0.99057,0.99726,0.99481,0.92659,0.38514,0.26398,0.91918,0.000102231,0.000102231,0.000102231
72,742.602,0.53985,0.56352,1.03903,0.9926,0.99516,0.995,0.92571,0.39635,0.26317,0.92388,9.89343e-05,9.89343e-05,9.89343e-05
73,752.869,0.53506,0.57832,1.04565,0.98982,0.99687,0.995,0.93037,0.38522,0.25457,0.92157,9.56376e-05,9.56376e-05,9.56376e-05
74,763.156,0.54241,0.54296,1.03825,0.99412,0.9978,0.995,0.9276,0.39846,0.255,0.9327,9.23409e-05,9.23409e-05,9.23409e-05
75,773.422,0.52905,0.55375,1.03778,0.99501,0.99537,0.995,0.92603,0.39351,0.25404,0.925,8.90442e-05,8.90442e-05,8.90442e-05
76,783.691,0.544,0.55094,1.05377,0.99338,0.99836,0.995,0.92725,0.37964,0.25393,0.915,8.57475e-05,8.57475e-05,8.57475e-05
77,793.977,0.53828,0.54014,1.04807,0.99418,0.99837,0.995,0.93333,0.38169,0.2533,0.91561,8.24508e-05,8.24508e-05,8.24508e-05
78,804.273,0.52432,0.54464,1.03509,0.9932,0.99848,0.995,0.92535,0.38571,0.25003,0.91858,7.91541e-05,7.91541e-05,7.91541e-05
79,814.567,0.51371,0.5337,1.03577,0.99489,0.99905,0.995,0.9355,0.376,0.24841,0.9102,7.58574e-05,7.58574e-05,7.58574e-05
80,824.868,0.51692,0.53492,1.03407,0.99394,0.99883,0.995,0.93169,0.3764,0.24668,0.91328,7.25607e-05,7.25607e-05,7.25607e-05
81,835.153,0.52055,0.53118,1.03076,0.99455,0.99932,0.995,0.93445,0.37139,0.24465,0.91027,6.9264e-05,6.9264e-05,6.9264e-05
82,845.465,0.52365,0.53559,1.03016,0.99484,1,0.995,0.93264,0.37094,0.24119,0.90975,6.59673e-05,6.59673e-05,6.59673e-05
83,855.741,0.51983,0.53287,1.03064,0.99447,0.99903,0.995,0.93212,0.36416,0.23979,0.90095,6.26706e-05,6.26706e-05,6.26706e-05
84,866.038,0.5169,0.52455,1.03531,0.99266,0.99943,0.995,0.93287,0.36791,0.24411,0.90499,5.93739e-05,5.93739e-05,5.93739e-05
85,876.454,0.51932,0.52475,1.03451,0.99322,0.99841,0.995,0.93379,0.36123,0.24233,0.89928,5.60772e-05,5.60772e-05,5.60772e-05
86,886.754,0.5157,0.51818,1.03171,0.9934,0.99757,0.995,0.9332,0.36407,0.24225,0.90229,5.27805e-05,5.27805e-05,5.27805e-05
87,897.039,0.50967,0.51933,1.02908,0.99445,0.99889,0.995,0.93435,0.3653,0.23935,0.90055,4.94838e-05,4.94838e-05,4.94838e-05
